index,layer,js_divergence,clean_correct_rank,trigger_correct_rank,trigger_wrong_rank,clean_wrong_minus_correct_logit,trigger_wrong_minus_correct_logit
37,13,0.23920217156410217,118772,27734,60595,0.328125,-1.283203125
37,14,0.29337358474731445,121423,13561,42772,-0.125,-1.5625
37,15,0.4190406799316406,108394,36717,95204,-0.8828125,-1.6787109375
37,16,0.24230721592903137,126788,54642,107690,-0.8046875,-1.419921875
37,17,0.12757182121276855,147693,138149,144633,-0.171875,-0.75
37,18,0.13413020968437195,151435,151120,151320,0.296875,-0.28125
37,19,0.1645924150943756,151671,151540,151621,0.34375,-0.3125
37,20,0.10380977392196655,151731,151651,151572,0.53125,0.28125
37,21,0.01932929828763008,151303,151416,151555,-0.125,-0.3125
37,22,0.014877662062644958,150953,151330,151700,-0.625,-1.0
37,23,0.003460533916950226,150934,151320,151576,-0.28125,-0.53125
37,24,0.0014704111963510513,150452,150467,151266,-0.875,-0.78125
37,25,0.00011057085066568106,149215,148338,150440,-0.84375,-0.96875
37,26,0.005104499869048595,149724,148142,149664,-0.359375,-0.5
29,0,0.0028542163781821728,13,13,16,-0.25,-0.1875
29,1,0.006761438213288784,15,15,19,-0.0625,-0.125
29,2,0.004347987938672304,15,15,12,0.15625,0.0625
29,3,0.005439434666186571,28,26,24,0.1875,0.0625
29,4,0.005749713629484177,41,29,18,0.53125,0.4375
29,5,0.1736375242471695,221,1528,650,0.65625,0.734375
29,6,0.02562379464507103,2326,4246,1733,1.0,0.859375
29,7,0.024633709341287613,10583,6891,4719,0.71875,0.453125
29,8,0.05533631891012192,6338,5624,5269,0.421875,0.078125
29,9,0.07213407754898071,17190,14331,12985,0.2265625,0.1328125
29,10,0.10961706936359406,84633,69182,53137,0.7265625,0.55810546875
29,11,0.15592417120933533,68570,52895,46313,0.35546875,0.2509765625
29,12,0.22252698242664337,136712,52429,51277,0.140625,0.041015625
29,13,0.15523535013198853,137607,45736,62052,-0.09375,-0.5244140625
29,14,0.11779285967350006,147567,104743,128444,-0.203125,-1.03515625
29,15,0.15074990689754486,143957,123228,130551,0.25,-0.421875
29,16,0.14804300665855408,148200,134899,136692,0.078125,-0.140625
29,17,0.10740315914154053,150164,142859,145639,-0.265625,-0.40625
29,18,0.14811483025550842,151453,151460,151460,0.0,0.0
29,19,0.18638119101524353,151557,151758,151766,-0.09375,-0.03125
29,20,0.09932498633861542,151725,151803,151773,0.5625,0.34375
29,21,0.06505563855171204,151464,151834,151781,0.5,0.40625
29,22,0.05355115979909897,151325,151774,151739,0.15625,0.1875
29,23,0.02158663049340248,151419,151810,151734,0.25,0.53125
29,24,0.0049806516617536545,150890,151610,151179,0.40625,0.8125
29,25,0.00046636658953502774,149497,150644,149789,0.609375,0.5625
29,26,6.522770127048716e-05,148080,149877,150300,-0.796875,-0.21875
309,0,0.0018344942945986986,62,66,4,2.625,2.59375
309,1,0.001594651723280549,82,89,3,2.8125,2.65625
309,2,0.0029918933287262917,41,43,4,2.1875,2.03125
309,3,0.003576621413230896,47,52,5,2.40625,2.21875
309,4,0.007689556572586298,67,74,12,1.78125,1.71875
309,5,0.26939648389816284,435,5411,991,1.59375,1.5
309,6,0.08976393938064575,2965,12121,5177,0.8125,0.953125
309,7,0.05607445538043976,11171,38462,21549,0.5703125,0.92578125
309,8,0.1761874556541443,9881,88725,68292,0.125,0.69140625
309,9,0.1746700257062912,27269,80843,53612,1.2978515625,0.982421875
309,10,0.2270195186138153,51245,90712,73751,0.18212890625,0.5703125
309,11,0.25903189182281494,47785,96966,64077,0.252685546875,1.05859375
309,12,0.47505319118499756,129176,73551,29692,0.5390625,1.7822265625
309,13,0.44795340299606323,145451,73545,22770,0.296875,2.115234375
309,14,0.4269527792930603,148972,127784,54194,0.046875,2.37890625
309,15,0.5137995481491089,146765,135174,96463,0.1875,1.6484375
309,16,0.43730616569519043,150005,138349,97464,0.0,1.90234375
309,17,0.3523070216178894,150384,149334,136275,-0.078125,1.8125
309,18,0.308587908744812,151562,151828,151324,-0.75,1.46875
309,19,0.36925673484802246,151807,151893,151725,-0.5,1.34375
309,20,0.2710590362548828,151819,151885,151779,-0.1875,1.03125
309,21,0.03862603008747101,151863,151902,151165,0.65625,2.34375
309,22,0.014016062952578068,151826,151869,151707,-0.0625,1.125
309,23,0.0067722913809120655,151848,151755,150534,1.0625,1.84375
309,24,0.0009423402370885015,151854,151669,148919,1.75,2.234375
309,25,0.0005157573032192886,151484,150098,144522,1.625,1.5625
309,26,0.00012861691357102245,151124,147922,139928,1.484375,1.1875
361,0,0.0011941669508814812,36,43,29,0.3125,0.34375
361,1,0.001374910119920969,44,44,28,0.375,0.375
361,2,0.0036304593086242676,34,27,24,0.125,0.03125
361,3,0.003757000435143709,38,41,36,0.09375,0.09375
361,4,0.004498048685491085,31,30,29,0.0,0.03125
361,5,0.36809074878692627,172,1802,1773,0.84375,0.015625
361,6,0.2066507637500763,2100,13270,7638,1.03125,0.609375
361,7,0.1646251380443573,10950,34171,22732,1.5859375,0.6015625
361,8,0.260278582572937,8593,86213,51100,1.859375,1.16796875
361,9,0.26696816086769104,29204,68579,42295,2.0234375,1.0068359375
361,10,0.254219651222229,62946,96923,45296,2.41455078125,1.640625
361,11,0.19988727569580078,79959,105248,26137,3.0703125,2.5625
361,12,0.30712905526161194,122913,72527,9887,3.296875,3.25
361,13,0.23531928658485413,121014,43197,11693,2.796875,1.86328125
361,14,0.2879020571708679,121887,55615,15862,2.4296875,1.919921875
361,15,0.30043259263038635,122066,65283,20109,2.671875,1.89453125
361,16,0.2122529298067093,146027,144019,92779,3.205078125,2.82763671875
361,17,0.16656674444675446,150617,148959,128377,2.796875,2.421875
361,18,0.1330864131450653,151721,151770,149606,2.78125,2.640625
361,19,0.1744377762079239,151846,151862,150615,3.28125,2.96875
361,20,0.13611969351768494,151845,151875,151155,2.90625,2.8125
361,21,0.03487637639045715,151696,151832,149843,2.328125,2.8125
361,22,0.03558368980884552,151617,151834,150850,1.796875,2.4375
361,23,0.03389640524983406,151723,151843,148588,3.078125,3.640625
361,24,0.022285301238298416,151147,151591,150739,0.8125,1.15625
361,25,0.008899618871510029,150046,151406,149910,1.203125,1.34375
361,26,0.0001568961306475103,149443,151158,143970,1.28125,2.140625
