layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
3,error,wrong,4969,0.21396902203559875,0.16610732674598694,0.984375
3,error,incorrect,15114,0.20924559235572815,0.14087975025177002,0.953125
3,error,error,1465,-0.038765955716371536,0.16242541372776031,0.390625
3,error,mistake,16523,0.010872742161154747,0.12482874095439911,0.609375
3,error,misleading,37209,0.13561956584453583,0.11644316464662552,0.875
3,error,deceive,92828,0.1240217462182045,0.09577132761478424,0.90625
3,checking,correct,4396,0.23061741888523102,0.1447817087173462,0.953125
3,checking,verify,10146,0.1284807026386261,0.09316401928663254,0.921875
3,checking,check,1779,0.14345021545886993,0.09172774106264114,0.96875
3,checking,careful,16585,0.0557478666305542,0.11347267031669617,0.6875
3,reasoning,think,1744,0.17158716917037964,0.1477172076702118,0.90625
3,reasoning,reason,2874,0.1456596553325653,0.11029835790395737,0.953125
3,reasoning,answer,4226,0.13483428955078125,0.12624338269233704,0.90625
3,reasoning,solve,11625,0.07862880825996399,0.08030636608600616,0.875
3,reasoning,step,3019,0.13164712488651276,0.13157249987125397,0.84375
3,reasoning,conclusion,16688,-0.022624876350164413,0.19953526556491852,0.515625
3,termination,final,1590,0.2003433108329773,0.12918540835380554,0.9375
3,termination,end,835,0.0776938870549202,0.1247473657131195,0.71875
3,termination,stop,2936,0.08544361591339111,0.11620360612869263,0.734375
3,termination,short,2805,0.18044103682041168,0.1433115005493164,0.875
3,termination,continue,3060,0.11095227301120758,0.1192086860537529,0.859375
3,plausibility,plausible,49334,0.10242848843336105,0.11890359967947006,0.828125
3,plausibility,coherent,55787,0.15198597311973572,0.11092931777238846,0.9375
3,plausibility,confident,16506,0.31593912839889526,0.08859318494796753,1.0
3,plausibility,trust,6950,0.1740475594997406,0.12275822460651398,0.921875
4,error,wrong,4969,0.5282241106033325,0.26712220907211304,0.984375
4,error,incorrect,15114,0.4426968991756439,0.22913795709609985,0.953125
4,error,error,1465,0.38849326968193054,0.22152915596961975,0.953125
4,error,mistake,16523,0.14445097744464874,0.164488285779953,0.828125
4,error,misleading,37209,0.06654642522335052,0.15371523797512054,0.6875
4,error,deceive,92828,0.07000576704740524,0.15824349224567413,0.734375
4,checking,correct,4396,0.4598478376865387,0.2582016587257385,0.984375
4,checking,verify,10146,0.13453097641468048,0.14817260205745697,0.875
4,checking,check,1779,0.5359553098678589,0.1485777199268341,0.984375
